지정별	명칭	소유자	주소	지역구분	관리자	설치연도	장애내역
유형문화재	칠사당	강릉시	강릉시 명주동 38-1	강릉권	강릉시	2018	중계기 추가설치필요
유형문화재	향현사	향현사문중	강릉시 교동 238-3	강릉권	향현사문중	2020	
유형문화재	계련당	사유	강릉시 교동 23	강릉권	모선계원	2020	
유형문화재	송담서원	사유	강릉시 강동면 언별리1115	강릉권	강릉유도회	2018	펌웨어 수정
유형문화재	오봉서원	사유	강릉시 성산면 오봉리58-6	강릉권	강릉유도회	2018	펌웨어 수정
유형문화재	오성정	국유	강릉시 노암동 740-4	강릉권	강릉시	2018	펌웨어 수정
유형문화재	화부산사	사유	강릉시 교동 725-2	강릉권	김해김씨종중	2018	보수공사중
유형문화재	황산사	사유	강릉시 운정동 440-2	강릉권	강릉최씨종중	2018	펌웨어 수정
유형문화재	경양사	사유	강릉시 저동 293	강릉권	강릉박씨종중	2018	#8,펌웨어수정
유형문화재	강릉 호해정	사유	강릉시 저동 433	강릉권	강릉김씨종중	2018	펌웨어 수정
유형문화재	강릉향교	사유	강릉시 교동 233	강릉권	향교재단	2018	펌웨어 수정
유형문화재	강릉 보광리 석조여래좌상	국유	강릉시 성산면 보광리 산400	강릉권	강릉시		
유형문화재	강릉 관음리 오층석탑	국유	강릉시 성산면 관음리774	강릉권	강릉시	2020	
기념물	용지	사유	강릉시 옥천동 1-1	강릉권	강릉최씨 종중	2020	
기념물	강릉 대공산성	국유	강릉시 성산면 보광리 산544	강릉권	강릉시		
기념물	강릉 고려성	사유	강릉시 강동면 정동진리 산28	강릉권	강릉시		
문화재자료	금란정	사유	강릉시 저동 15-1	강릉권	금란계원	2020	
문화재자료	굴산사지 석불좌상	국유	강릉시 구정면 학산리 603-1	강릉권	강릉시	2020	
문화재자료	강릉 산계리 석탑	국유	강릉시 옥계면 산계리 1232	강릉권	강릉시	2020	
문화재자료	금강산성	국유	강릉시 연곡면 삼산리 산1-1 	강릉권	강릉시		
문화재자료	강릉 효자리비	사유	강릉시 옥천동 332-2 	강릉권	강릉김씨문중	2020	
문화재자료	강릉 산계리 김옥계 방역사적비 및 종선비	금옥계중	강릉시 옥계면 산계리 787	강릉권	금옥계중	2020	
보물	강릉 경포대	국유	강릉시 저동 94	강릉권	강릉시	2017	#3,7,펌웨어
유형문화재	삼척 척주동해비 및 평수토찬비	국유	삼척시 정상동 82-1	동해권	삼척시	2019	#2,7,펌웨어
유형문화재	삼척 교수당	사유	삼척시 근덕면 하맹방리 531	동해권	남양홍씨종중	2019	#5,8,펌웨어
유형문화재	북평 해암정	사유	동해시 추암동 474-5	동해권	삼척심씨종중	2018	펌웨어 수정
유형문화재	삼척향교	사유	삼척시 교동 566	동해권	향교재단	2018	대성전 해체보수,펌웨어
문화재자료	삼척 소공대비	국유	삼척시 원덕읍 노곡리 산67	동해권	삼척시	2019	#1,4,펌웨어
문화재자료	삼척 역둔리철비	공유	삼척시 하장면 역둔리 산2-1	동해권	삼척시	2020	
문화재자료	삼척 산양서원 묘정비	산양서원	삼척시 원덕읍 산양리 843	동해권	산양서원	2018	미설치개소
문화재자료	태백 본적사지 삼층석탑재	국유	태백시 황지동 467-10	동해권	태백시	2019	이격1,4,펌웨어
